Pedido_ID,Venta_ID,Cliente_RUC,Lote_ID,Cantidad_Solicitada,Precio_Unitario,Subtotal,IGV,Total
1,1,20000156,286,19,150.44,2858.36,514.5,3372.86
2,1,20000156,176,17,81.37,1383.29,248.99,1632.28
3,1,20000156,485,17,169.94,2888.98,520.02,3409.0
4,1,20000156,151,19,117.45,2231.55,401.68,2633.23
5,1,20000156,424,17,58.3,991.1,178.4,1169.5
6,1,20000156,461,12,204.49,2453.88,441.7,2895.58
7,1,20000156,395,14,85.94,1203.16,216.57,1419.73
8,2,20000082,83,14,201.09,2815.26,506.75,3322.01
9,2,20000082,115,19,25.67,487.73,87.79,575.52
10,2,20000082,270,16,63.35,1013.6,182.45,1196.05
11,2,20000082,48,20,25.54,510.8,91.94,602.74
12,2,20000082,456,20,217.45,4349.0,782.82,5131.82
13,2,20000082,206,15,170.33,2554.95,459.89,3014.84
14,3,20000002,368,17,194.01,3298.17,593.67,3891.84
15,3,20000002,482,14,169.94,2379.16,428.25,2807.41
16,3,20000002,240,12,233.57,2802.84,504.51,3307.35
17,3,20000002,121,23,170.88,3930.24,707.44,4637.68
18,3,20000002,456,23,217.45,5001.35,900.24,5901.59
19,3,20000002,107,21,31.44,660.24,118.84,779.08
20,4,20000411,455,19,217.45,4131.55,743.68,4875.23
21,4,20000411,377,20,167.53,3350.6,603.11,3953.71
22,4,20000411,311,13,40.54,527.02,94.86,621.88
23,4,20000411,361,15,200.33,3004.95,540.89,3545.84
24,4,20000411,188,18,219.6,3952.8,711.5,4664.3
25,4,20000411,514,15,180.87,2713.05,488.35,3201.4
26,4,20000411,240,17,233.57,3970.69,714.72,4685.41
27,5,20000015,103,16,192.09,3073.44,553.22,3626.66
28,5,20000015,492,18,55.79,1004.22,180.76,1184.98
29,5,20000015,534,19,166.73,3167.87,570.22,3738.09
30,5,20000015,163,17,177.92,3024.64,544.44,3569.08
31,5,20000015,461,11,204.49,2249.39,404.89,2654.28
32,6,20000260,514,19,180.87,3436.53,618.58,4055.11
33,6,20000260,113,23,37.35,859.05,154.63,1013.68
34,6,20000260,11,16,169.26,2708.16,487.47,3195.63
35,6,20000260,140,10,116.09,1160.9,208.96,1369.86
36,6,20000260,499,9,112.58,1013.22,182.38,1195.6
37,6,20000260,300,22,83.03,1826.66,328.8,2155.46
38,6,20000260,386,13,203.09,2640.17,475.23,3115.4
39,7,20000332,398,12,242.8,2913.6,524.45,3438.05
40,7,20000332,377,16,167.53,2680.48,482.49,3162.97
41,7,20000332,534,15,166.73,2500.95,450.17,2951.12
42,7,20000332,365,20,194.01,3880.2,698.44,4578.64
43,7,20000332,250,13,164.17,2134.21,384.16,2518.37
44,7,20000332,343,19,137.87,2619.53,471.52,3091.05
45,7,20000332,247,22,53.88,1185.36,213.36,1398.72
46,7,20000332,232,23,27.72,637.56,114.76,752.32
47,8,20000235,77,21,22.07,463.47,83.42,546.89
48,8,20000235,188,27,219.6,5929.2,1067.26,6996.46
49,8,20000235,477,20,110.26,2205.2,396.94,2602.14
50,8,20000235,324,15,228.41,3426.15,616.71,4042.86
51,8,20000235,358,21,225.71,4739.91,853.18,5593.09
52,9,20000203,343,18,137.87,2481.66,446.7,2928.36
53,9,20000203,323,15,228.41,3426.15,616.71,4042.86
54,9,20000203,232,21,27.72,582.12,104.78,686.9
55,9,20000203,300,21,83.03,1743.63,313.85,2057.48
56,9,20000203,60,17,111.41,1893.97,340.91,2234.88
57,9,20000203,225,20,89.14,1782.8,320.9,2103.7
58,10,20000327,377,22,167.53,3685.66,663.42,4349.08
59,10,20000327,392,19,125.29,2380.51,428.49,2809.0
60,10,20000327,283,16,171.15,2738.4,492.91,3231.31
61,10,20000327,270,17,63.35,1076.95,193.85,1270.8
62,10,20000327,228,21,203.11,4265.31,767.76,5033.07
63,10,20000327,135,19,109.17,2074.23,373.36,2447.59
64,10,20000327,461,10,204.49,2044.9,368.08,2412.98
65,11,20000513,21,10,193.21,1932.1,347.78,2279.88
66,11,20000513,207,11,59.45,653.95,117.71,771.66
67,11,20000513,224,22,172.36,3791.92,682.55,4474.47
68,11,20000513,358,21,225.71,4739.91,853.18,5593.09
69,11,20000513,427,21,62.12,1304.52,234.81,1539.33
70,11,20000513,336,19,169.55,3221.45,579.86,3801.31
71,11,20000513,11,14,169.26,2369.64,426.54,2796.18
72,11,20000513,154,25,117.45,2936.25,528.52,3464.78
73,12,20000393,169,12,69.94,839.28,151.07,990.35
74,12,20000393,163,15,177.92,2668.8,480.38,3149.18
75,12,20000393,225,20,89.14,1782.8,320.9,2103.7
76,12,20000393,228,24,203.11,4874.64,877.44,5752.08
77,13,20000058,77,21,22.07,463.47,83.42,546.89
78,13,20000058,225,21,89.14,1871.94,336.95,2208.89
79,13,20000058,427,21,62.12,1304.52,234.81,1539.33
80,13,20000058,148,18,31.82,572.76,103.1,675.86
81,13,20000058,154,19,117.45,2231.55,401.68,2633.23
82,13,20000058,48,20,25.54,510.8,91.94,602.74
83,13,20000058,382,17,101.18,1720.06,309.61,2029.67
84,14,20000096,196,16,181.81,2908.96,523.61,3432.57
