Venta_ID,Fecha_Registro,Fecha_Envio,Estado,Monto_Total,Fecha_ID
1,2020-01-01,2020-01-03,Completada,16532.18,1
2,2020-01-02,2020-01-03,Completada,13842.98,2
3,2020-01-03,,Pendiente,21324.95,3
4,2020-01-04,2020-01-08,Completada,25547.77,4
5,2020-01-05,2020-01-10,Completada,14773.09,5
6,2020-01-06,2020-01-09,Completada,16100.74,6
7,2020-01-07,2020-01-10,Completada,21891.24,7
8,2020-01-08,2020-01-10,Completada,19781.44,8
9,2020-01-09,2020-01-12,Completada,14054.18,9
10,2020-01-10,2020-01-12,Completada,21553.83,10
11,2020-01-11,,Pendiente,24720.7,11
12,2020-01-12,2020-01-14,Completada,11995.31,12
13,2020-01-13,2020-01-14,Completada,10236.61,13
14,2020-01-14,2020-01-19,Completada,17305.16,14
15,2020-01-15,2020-01-16,Completada,7554.7,15
16,2020-01-16,2020-01-17,Completada,11177.93,16
17,2020-01-17,,Pendiente,18489.66,17
18,2020-01-18,2020-01-23,Completada,22771.57,18
19,2020-01-19,,Pendiente,18207.31,19
20,2020-01-20,,Pendiente,19377.74,20
21,2020-01-21,2020-01-23,Completada,24843.15,21
22,2020-01-22,2020-01-27,Completada,15572.18,22
23,2020-01-23,2020-01-26,Completada,16282.52,23
24,2020-01-24,2020-01-28,Completada,15207.89,24
25,2020-01-25,2020-01-27,Completada,2434.62,25
26,2020-01-26,2020-01-30,Completada,12856.7,26
27,2020-01-27,2020-01-29,Completada,10035.21,27
28,2020-01-28,2020-01-29,Completada,9377.08,28
29,2020-01-29,2020-02-01,Completada,21516.45,29
30,2020-01-30,2020-02-04,Completada,11978.11,30
31,2020-01-31,2020-02-04,Completada,5765.13,31
32,2020-02-01,2020-02-04,Completada,11143.79,32
33,2020-02-02,2020-02-04,Completada,17070.28,33
34,2020-02-03,2020-02-04,Completada,24135.24,34
35,2020-02-04,,Pendiente,14628.1,35
36,2020-02-05,2020-02-08,Completada,14741.51,36
37,2020-02-06,2020-02-10,Completada,13493.62,37
38,2020-02-07,,Pendiente,13523.84,38
39,2020-02-08,2020-02-09,Completada,11642.16,39
40,2020-02-09,,Cancelada,20331.06,40
41,2020-02-10,2020-02-15,Completada,12027.04,41
42,2020-02-11,2020-02-14,Completada,7970.11,42
43,2020-02-12,2020-02-16,Completada,26545.79,43
44,2020-02-13,2020-02-17,Completada,19850.29,44
45,2020-02-14,2020-02-17,Completada,11437.78,45
46,2020-02-15,2020-02-17,Completada,9751.74,46
47,2020-02-16,,Pendiente,16995.99,47
48,2020-02-17,,Pendiente,18304.51,48
49,2020-02-18,2020-02-20,Completada,18752.6,49
50,2020-02-19,,Pendiente,14868.61,50
51,2020-02-20,,Cancelada,16392.46,51
52,2020-02-21,2020-02-25,Completada,6048.88,52
53,2020-02-22,2020-02-24,Completada,23164.61,53
54,2020-02-23,2020-02-28,Completada,23738.47,54
55,2020-02-24,,Pendiente,19654.86,55
56,2020-02-25,,Pendiente,21134.17,56
57,2020-02-26,2020-03-02,Completada,9521.51,57
58,2020-02-27,2020-03-01,Completada,11572.49,58
59,2020-02-28,2020-03-02,Completada,23037.44,59
60,2020-02-29,2020-03-02,Completada,21632.59,60
61,2020-03-01,2020-03-04,Completada,19376.07,61
62,2020-03-02,2020-03-05,Completada,12318.18,62
63,2020-03-03,2020-03-07,Completada,15623.71,63
64,2020-03-04,2020-03-08,Completada,5611.97,64
65,2020-03-05,2020-03-10,Completada,14726.07,65
66,2020-03-06,2020-03-07,Completada,14700.84,66
67,2020-03-07,2020-03-09,Completada,9897.87,67
68,2020-03-08,2020-03-10,Completada,12438.51,68
69,2020-03-09,2020-03-13,Completada,11068.77,69
70,2020-03-10,2020-03-15,Completada,13419.6,70
71,2020-03-11,2020-03-14,Completada,13739.29,71
72,2020-03-12,2020-03-14,Completada,16886.75,72
